tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
13.1,11.7,16.7,20.1,0.0,38.0,26.9,,1021.2,
14.7,13.3,16.1,6.4,0.0,356.0,12.1,,1012.3,
16.5,12.8,21.7,0.0,0.0,247.0,9.9,,1015.1,
18.5,15.0,23.3,0.0,0.0,231.0,11.6,,1016.1,
15.0,11.1,18.9,24.9,0.0,317.0,7.6,,1018.1,
13.1,8.9,18.3,0.0,0.0,302.0,7.6,,1025.3,
14.5,11.1,17.8,0.0,0.0,88.0,10.3,,1030.9,
16.5,13.9,20.0,0.0,0.0,83.0,9.5,,1027.3,
18.1,16.1,22.8,0.5,0.0,275.0,5.5,,1024.3,
18.2,16.1,22.8,0.0,0.0,91.0,4.4,,1024.8,
18.9,18.0,20.0,0.0,0.0,305.0,4.3,,1024.0,
18.0,17.2,20.6,0.0,0.0,174.0,5.5,,1022.0,
17.4,12.2,22.8,0.0,0.0,245.0,6.9,,1015.0,
11.1,8.9,13.3,1.0,0.0,22.0,15.6,,1023.3,
13.6,11.7,15.6,1.8,0.0,31.0,13.1,,1021.7,
14.8,13.3,16.1,0.0,0.0,333.0,6.6,,1021.0,
13.7,12.2,15.0,2.0,0.0,357.0,8.7,,1017.2,
12.0,9.4,14.4,40.4,0.0,24.0,18.4,,1008.1,
7.4,5.6,9.4,17.8,0.0,13.0,16.6,,1012.5,
6.8,3.3,9.4,0.0,0.0,44.0,9.4,,1031.3,
11.0,7.8,13.3,9.4,0.0,201.0,13.7,,1016.7,
7.1,5.0,10.0,0.0,0.0,273.0,13.9,,1010.1,
9.6,5.6,13.9,0.0,0.0,280.0,18.0,,1017.2,
12.5,6.7,19.4,0.0,0.0,350.0,11.0,,1030.7,
14.9,11.1,20.6,0.0,0.0,218.0,8.8,,1029.7,
16.7,12.8,22.8,0.0,0.0,256.0,9.9,,1025.1,
17.9,12.8,25.0,0.0,0.0,252.0,9.5,,1024.7,
17.1,12.8,24.4,0.0,0.0,265.0,5.4,,1027.5,
17.5,11.7,25.6,0.0,0.0,255.0,5.6,,1026.6,
18.5,14.4,23.3,0.0,0.0,266.0,9.6,,1022.4,
19.0,17.8,21.1,16.0,0.0,194.0,8.7,,1016.6,
14.1,9.4,19.4,4.1,0.0,25.0,13.3,,1015.4,
10.5,9.4,12.2,3.0,0.0,347.0,10.9,,1016.1,
10.4,8.3,13.9,0.0,0.0,297.0,8.2,,1021.2,
11.6,7.2,16.7,1.8,0.0,105.0,19.4,,1017.2,
11.3,9.4,13.3,0.0,0.0,260.0,16.6,,1013.5,
7.6,4.4,10.0,0.0,0.0,273.0,8.8,,1015.9,
3.0,1.1,5.6,0.0,0.0,315.0,7.9,,1030.7,
5.3,0.6,10.0,0.0,0.0,219.0,15.7,,1034.3,
12.0,7.8,18.3,0.0,0.0,243.0,13.7,,1027.5,
13.6,10.6,19.4,0.0,0.0,219.0,7.9,,1027.3,
10.4,7.8,13.9,0.0,0.0,42.0,20.5,,1028.2,
11.6,6.7,15.0,11.7,0.0,284.0,7.3,,1015.9,
8.2,6.1,12.2,0.0,0.0,309.0,9.4,,1026.6,
10.4,8.3,12.2,0.0,0.0,273.0,8.4,,1026.6,
15.1,12.8,18.3,16.5,0.0,230.0,9.2,,1017.0,
13.0,10.6,16.7,0.0,0.0,234.0,8.4,,1017.2,
11.0,7.8,14.4,0.0,0.0,304.0,6.8,,1016.1,
