Date,Moon Phase
2023-07-04,99.4249267578125
2023-07-05,96.41665649414062
2023-07-06,90.65626525878906
2023-07-07,82.5855484008789
2023-07-08,72.82408905029297
2023-07-09,62.05965805053711
2023-07-10,50.95579528808594
2023-07-11,40.09608840942383
2023-07-12,29.963459014892578
2023-07-13,20.941696166992188
2023-07-14,13.325937271118164
2023-07-15,7.33336067199707
2023-07-16,3.1107571125030518
2023-07-17,0.7392780780792236
2023-07-18,0.238414004445076
2023-07-19,1.5712696313858032
2023-07-20,4.652145862579346
2023-07-21,9.35586166381836
2023-07-22,15.526959419250488
2023-07-23,22.986318588256836
2023-07-24,31.532642364501953
2023-07-25,40.93693161010742
2023-07-26,50.92922592163086
2023-07-27,61.17890548706055
2023-07-28,71.27302551269531
2023-07-29,80.70201110839844
2023-07-30,88.86746215820312
